Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,FREE,FREE,FREE,CS6C/TCS611 [CR604],CS6E/TCS611 [CR602],FREE,CS6F/TCS611 [CR602]
Tue,CS6B/TCS611 [CR601],CS6D/TCS611 [CR601],FREE,FREE,CS6C/TCS611 [CR604],CS6C/TCS611 [CR604],FREE,CS6D/TCS611 [CR601]
Wed,FREE,CS6B/TCS611 [CR601],CS6E/TCS611 [CR602],FREE,FREE,FREE,FREE,FREE
Thu,CS6D/TCS611 [CR604],CS6B/TCS611 [CR604],FREE,FREE,CS6A/TCS611 [CR605],FREE,FREE,FREE
Fri,CS6F/TCS611 [CR606],CS6E/TCS611 [CR605],CS6A/TCS611 [CR606],FREE,CS6A/TCS611 [CR601],FREE,FREE,CS6F/TCS611 [CR603]
