Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS4E/TCS-402 [CR401],CS6F/TCS-601 [CR403],CS6F/TCS-601 [CR403],FREE,CS4E/TCS-402 [CR401],FREE,FREE,FREE
Tue,FREE,FREE,FREE,CS6C/TCS-601 [CR601],CS4E/TCS-409 [CR602],FREE,FREE,CS4D/TCS-402 [CR606]
Wed,FREE,FREE,FREE,FREE,CS4D/TCS-402 [CR606],CS4D/TCS-402 [CR606],CS6C/TCS-601 [CR601],CS4E/TCS-409 [CR602]
Thu,CS4E/TCS-409 [CR602],FREE,FREE,FREE,FREE,FREE,FREE,FREE
Fri,FREE,FREE,CS4E/TCS-402 [CR401],CS6C/TCS-601 [CR601],CS6F/TCS-601 [CR403],FREE,FREE,FREE
