Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS4D/TCS-408 [CR602],FREE,CS4D/TCS-408 [CR602],FREE,FREE,CS4D/PCS-408 [LAB1],CS4D/PCS-408(L) [LAB1]
Tue,FREE,CS4E/TCS-408 [CR403],CS4B/TCS-408 [CR401],FREE,FREE,CS4B/TCS-408 [CR401],FREE,FREE
Wed,CS4E/PCS-408 [LAB3],CS4E/PCS-408(L) [LAB3],FREE,FREE,FREE,FREE,CS4D/TCS-408 [CR602],FREE
Thu,FREE,CS4B/TCS-408 [CR401],FREE,FREE,CS4E/TCS-408 [CR403],FREE,FREE,CS4E/TCS-408 [CR403]
Fri,CS4B/PCS-408 [LAB2],CS4B/PCS-408(L) [LAB2],FREE,FREE,FREE,FREE,FREE,FREE
