Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,FREE,FREE,CS6F/TCS-693 [CR603],FREE,FREE,FREE,FREE
Tue,FREE,CS6E/SCS-601 [SEMR1],FREE,FREE,FREE,FREE,FREE,CS6F/TCS-693 [CR603]
Wed,FREE,CS6F/TCS-693 [CR603],FREE,FREE,FREE,CS6C/TCS-693 [CR401],CS6F/PCS-693 [LAB2],CS6F/PCS-693(L) [LAB2]
Thu,FREE,FREE,FREE,FREE,FREE,FREE,CS6C/TCS-693 [CR401],FREE
Fri,CS6D/PCS-693 [LAB3],CS6D/PCS-693(L) [LAB3],FREE,FREE,CS6B/PCS-693 [LAB1],CS6B/PCS-693(L) [LAB1],FREE,CS6C/TCS-693 [CR401]
