Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6E/XCS601 (T_DIV),FREE,FREE,FREE,FREE,CS6B/TCS666 (T_SHJ),CS6F/TCS693 (T_HEP),FREE
Tue,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
Wed,FREE,FREE,FREE,CS6E/TCS695 (T_PRK),FREE,FREE,FREE,CS6B/TCS666 (T_SHJ)
Thu,FREE,FREE,FREE,FREE,CS6A/TCS611 (T_ANB),FREE,FREE,FREE
Fri,CS6B/TCS601 (T_DEV),CS6E/TCS611 (T_ANB),CS6F/XCS601 (T_DIV),FREE,FREE,FREE,FREE,CS6A/TCS666 (T_SHJ)
