Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS4E/TCS-408 (DC),CS6E/TCS-695 (PK),CS6D/TCS-614 (AA),FREE,CS4E/TCS-403 (MOP),FREE,CS4E/TCS-403 (MOP),CS4A/TCS-409 (SKS)
Tue,CS6B/XCS-601 (PA),FREE,CS6C/TCS-611 (AB),FREE,CS4E/TCS-409 (MK),FREE,FREE,CS6D/TCS-614 (AA)
Wed,FREE,CS6D/TCS-614 (AA),FREE,CS6E/TCS-695 (PK),CS4E/TCS-408 (DC),FREE,CS6C/TCS-611 (AB),FREE
Thu,FREE,CS4E/TCS-403 (MOP),CS4E/TCS-409 (MK),FREE,FREE,FREE,CS6E/TCS-695 (PK),CS4A/TCS-409 (SKS)
Fri,CS6B/XCS-601 (PA),FREE,CS6C/TCS-611 (AB),CS4E/TCS-409 (MK),FREE,CS4E/TCS-408 (DC),FREE,CS4A/TCS-409 (SKS)
