Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6F/TCS601 (T_ARN),CS6C/TCS666 (T_SHJ),CS6A/TCS611 (T_ANB),CS6A/TCS693 (T_HEP),CS6A/TCS695 (T_PRK),FREE,FREE,FREE
Tue,CS6C/XCS601 (T_PAW),CS6D/TCS693 (T_VIJ),CS6A/TCS695 (T_PRK),CS6E/TCS601 (T_ARN),FREE,CS6B/TCS693 (T_HEP),FREE,FREE
Wed,FREE,FREE,CS6D/TCS693 (T_VIJ),CS6D/TCS611 (T_ROH),FREE,FREE,FREE,FREE
Thu,CS6F/TCS693 (T_VIJ),CS6A/TCS601 (T_DEV),CS6A/TCS601 (T_DEV),CS6A/TCS693 (T_HEP),CS6D/TCS611 (T_ROH),CS6F/TCS611 (T_ROH),CS6E/TCS611 (T_ROH),FREE
Fri,FREE,CS6D/TCS693 (T_VIJ),FREE,FREE,CS6A/TCS693 (T_HEP),FREE,CS6F/TCS695 (T_PRI),FREE
