Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6E/TCS693 (T_VIJ),FREE,CS6C/TCS695 (T_PRK),FREE,FREE,FREE,FREE,FREE
Tue,CS6A/TCS666 (T_SHJ),FREE,CS6B/TCS601 (T_DEV),CS6B/TCS601 (T_DEV),CS6F/TCS666 (T_RAV),FREE,FREE,FREE
Wed,CS6E/TCS693 (T_VIJ),FREE,CS6E/TCS666 (T_RAV),CS6E/TCS601 (T_ARN),CS6B/TCS611 (T_ANB),FREE,FREE,FREE
Thu,FREE,CS6F/TCS666 (T_RAV),FREE,CS6E/TCS666 (T_RAV),FREE,FREE,CS6B/TCS611 (T_ANB),CS6E/TCS601 (T_ARN)
Fri,CS6F/TCS666 (T_RAV),FREE,FREE,CS6C/TCS695 (T_PRK),CS6C/TCS695 (T_PRK),CS6A/TCS666 (T_SHJ),CS6E/TCS611 (T_ROH),FREE
