Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6D/TCS611 (T_ROH),FREE,FREE,CS6D/TCS695 (T_PRI),FREE,FREE,FREE
Tue,CS6F/TCS601 (T_ARN),CS6F/TCS611 (T_ROH),FREE,CS6A/TCS611 (T_ANB),FREE,CS6F/TCS695 (T_PRI),FREE,CS6F/TCS693 (T_VIJ)
Wed,FREE,FREE,CS6A/TCS601 (T_DEV),CS6A/TCS611 (T_ANB),CS6F/XCS601 (T_DIV),FREE,CS6D/TCS666 (T_RAV),FREE
Thu,FREE,FREE,FREE,FREE,CS6A/XCS601 (T_PAW),FREE,FREE,FREE
Fri,CS6A/TCS695 (T_PRK),CS6F/TCS601 (T_ARN),FREE,FREE,CS6F/TCS611 (T_ROH),FREE,FREE,FREE
