Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS4B/XCS-401 (GP),CS4B/TCS-402 (AA),CS6F/TCS-695 (PK),CS4E/TCS-421 (SJ),CS6F/TCS-614 (AA),CS4E/TCS-403 (MOP),CS4A/TCS-421 (ASB)
Tue,FREE,CS6B/TCS-666 (SJ),FREE,CS4E/TCS-403 (MOP),CS4E/TCS-421 (SJ),CS6F/TCS-614 (AA),CS4B/TCS-402 (AA),FREE
Wed,FREE,CS6B/TCS-666 (SJ),FREE,FREE,FREE,FREE,CS4B/XCS-401 (GP),CS4A/TCS-421 (ASB)
Thu,CS6F/TCS-695 (PK),CS4E/XCS-401 (NB),CS4E/XCS-401 (NB),FREE,CS6F/TCS-614 (AA),FREE,CS4E/TCS-403 (MOP),CS6F/TCS-695 (PK)
Fri,FREE,CS4B/TCS-402 (AA),FREE,FREE,CS4E/TCS-421 (SJ),CS6B/TCS-666 (SJ),CS4A/TCS-421 (ASB),FREE
