Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS4A/TCS-408 (KM),FREE,CS6F/TCS-693 (SP),FREE,FREE,FREE,FREE,FREE
Tue,CS6B/TCS-611 (AB),CS4A/TCS-408 (KM),FREE,FREE,CS4B/TCS-403 (AB),FREE,FREE,CS6D/XCS-601 (MP)
Wed,CS4B/TCS-403 (AB),CS4B/TCS-409 (SC),CS6F/TCS-693 (SP),CS6F/XCS-601 (LS),FREE,CS6B/TCS-611 (AB),FREE,FREE
Thu,CS4B/TCS-408 (DC),CS4B/TCS-408 (DC),CS6F/XCS-601 (LS),CS4A/TCS-408 (KM),CS4B/TCS-409 (SC),CS4B/TCS-403 (AB),FREE,FREE
Fri,CS6D/XCS-601 (MP),FREE,CS6F/TCS-693 (SP),CS6B/TCS-611 (AB),CS4B/TCS-408 (DC),FREE,FREE,CS4B/TCS-409 (SC)
