Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6A/TCS-695 (PK),FREE,CS6C/XCS-601 (NB),CS6F/TCS-601 (MK),CS4D/TCS-408 (DC),CS4D/TCS-402 (MK),FREE
Tue,CS6C/XCS-601 (NB),CS6D/TCS-651 (AD),CS4E/TCS-409 (MK),CS4D/TCS-408 (DC),FREE,FREE,FREE,CS6B/XCS-601 (PA)
Wed,CS6A/TCS-695 (PK),CS4D/TCS-402 (MK),CS6D/TCS-651 (AD),FREE,CS6D/TCS-651 (AD),CS4A/TCS-403 (GSJ),CS6E/TCS-601 (DVP),CS6F/TCS-601 (MK)
Thu,CS6E/TCS-601 (DVP),CS6E/TCS-601 (DVP),FREE,CS4E/TCS-409 (MK),CS6B/XCS-601 (PA),CS4A/TCS-403 (GSJ),CS6A/TCS-695 (PK),FREE
Fri,CS4E/TCS-409 (MK),CS4D/TCS-408 (DC),FREE,FREE,CS4D/TCS-402 (MK),CS4A/TCS-403 (GSJ),FREE,CS6F/TCS-601 (MK)
