Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6C/TCS611 (T_ANB),FREE,FREE,FREE,CS6F/TCS666 (T_SHJ),FREE,CS6B/TCS611 (T_ANB)
Tue,CS6F/TCS666 (T_SHJ),FREE,CS6F/TCS693 (T_HEP),CS6C/TCS695 (T_PRK),FREE,CS6B/TCS611 (T_ANB),CS6B/TCS693 (T_HEP),FREE
Wed,FREE,FREE,FREE,CS6B/TCS693 (T_HEP),CS6C/TCS611 (T_ANB),FREE,FREE,CS6F/TCS666 (T_SHJ)
Thu,FREE,CS6F/TCS693 (T_HEP),FREE,CS6C/TCS695 (T_PRK),FREE,CS6C/TCS611 (T_ANB),CS6B/TCS611 (T_ANB),CS6B/TCS693 (T_HEP)
Fri,FREE,FREE,FREE,FREE,CS6C/TCS695 (T_PRK),CS6F/TCS693 (T_HEP),FREE,FREE
