Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6F/TCS666 [CR606],CS6D/TCS666 [CR603],CS6F/SCS601 [SEMR1],FREE,FREE,FREE,FREE
Tue,FREE,FREE,CS6E/SCS601 [SEMR1],CS6D/TCS666 [CR603],FREE,FREE,FREE,FREE
Wed,CS6F/TCS666 [CR601],FREE,CS6E/TCS666 [CR606],FREE,FREE,FREE,FREE,FREE
Thu,CS6F/PCS666 [LAB1],CS6D/SCS601 [SEMR1],CS6E/PCS666 [LAB2],CS6E/TCS666 [CR606],FREE,FREE,FREE,FREE
Fri,FREE,FREE,CS6D/PCS666 [LAB1],CS6F/TCS666 [CR602],FREE,CS6D/TCS666 [CR603],CS6E/TCS666 [CR606],FREE
