Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,FREE,CS6B/XCS601 [CR606],CS6A/XCS601 [CR605],FREE,FREE,FREE,FREE
Tue,FREE,CS6C/XCS601 [CR605],FREE,FREE,FREE,FREE,FREE,FREE
Wed,FREE,FREE,FREE,FREE,FREE,CS6B/XCS601 [CR601],FREE,FREE
Thu,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
Fri,FREE,FREE,CS6A/XCS601 [CR605],CS6C/XCS601 [CR605],FREE,FREE,FREE,FREE
