Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6C/TCS611 [CR601],FREE,CS6A/TCS611 [CR605],CS6D/TCS611 [CR605],FREE,CS6D/TCS611 [CR605],CS6B/TCS611 [CR601]
Tue,FREE,CS6A/TCS611 [CR605],CS6E/TCS611 [CR602],FREE,CS6D/TCS611 [CR605],CS6B/TCS611 [CR601],FREE,FREE
Wed,FREE,FREE,FREE,FREE,CS6C/TCS611 [CR601],FREE,CS6F/TCS611 [CR606],FREE
Thu,FREE,CS6A/TCS611 [CR605],CS6E/TCS611 [CR602],FREE,CS6F/TCS611 [CR606],CS6C/TCS611 [CR601],CS6B/TCS611 [CR601],FREE
Fri,FREE,FREE,FREE,FREE,CS6F/TCS611 [CR606],CS6E/TCS611 [CR602],FREE,FREE
