Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6B/XCS-601 (PA),FREE,CS6E/TCS-614 (AB),CS6E/XCS-601 (NJ),CS4E/TCS-421 (SJ),FREE,FREE
Tue,FREE,FREE,FREE,FREE,FREE,FREE,CS6E/TCS-614 (AB),CS6E/TCS-614 (AB)
Wed,FREE,FREE,CS4D/TCS-421 (ASB),CS4B/TCS-408 (DC),FREE,CS4D/XCS-401 (LS),FREE,FREE
Thu,CS6B/XCS-601 (PA),CS4E/TCS-421 (SJ),FREE,CS4A/XCS-401 (SA),FREE,FREE,FREE,CS4D/TCS-421 (ASB)
Fri,CS6E/XCS-601 (NJ),FREE,CS4D/XCS-401 (LS),FREE,CS4B/TCS-408 (DC),CS4E/TCS-421 (SJ),CS4D/TCS-421 (ASB),CS4B/TCS-408 (DC)
