Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS4E/TCS-403 (MOP),CS4E/XCS-401 (NB),CS4E/XCS-401 (NB),CS4A/TCS-402 (RS),FREE,FREE,FREE,FREE
Tue,FREE,FREE,FREE,FREE,FREE,CS4D/TCS-402 (MK),FREE,FREE
Wed,FREE,CS6A/XCS-601 (DT),FREE,CS4D/TCS-402 (MK),FREE,FREE,CS4C/TCS-408 (KM),FREE
Thu,FREE,FREE,FREE,FREE,FREE,CS6A/XCS-601 (DT),CS4D/TCS-402 (MK),FREE
Fri,FREE,CS4C/TCS-408 (KM),CS4C/TCS-408 (KM),FREE,FREE,FREE,FREE,FREE
