Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS4A/TCS-408 [CR605],FREE,FREE,FREE,FREE,CS4C/TCS-408 [CR403],FREE,FREE
Tue,FREE,CS4A/TCS-408 [CR605],FREE,FREE,FREE,FREE,FREE,FREE
Wed,FREE,FREE,FREE,FREE,FREE,FREE,CS4C/PCS-408 [LAB1],CS4C/PCS-408(L) [LAB1]
Thu,CS4C/TCS-408 [CR403],FREE,CS4C/TCS-408 [CR403],CS4A/TCS-408 [CR605],FREE,FREE,FREE,FREE
Fri,FREE,FREE,CS4A/PCS-408 [LAB2],CS4A/PCS-408(L) [LAB2],FREE,FREE,FREE,FREE
