Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
Tue,FREE,FREE,CS4A/TCS-409 [CR604],FREE,FREE,FREE,CS4D/TCS-409 [CR603],CS4D/TCS-409 [CR603]
Wed,FREE,CS4C/TCS-402 [CR602],FREE,FREE,CS4A/TCS-409 [CR604],FREE,CS6A/SCS-601 [SEMR2],FREE
Thu,FREE,FREE,CS4D/TCS-409 [CR603],FREE,FREE,FREE,FREE,CS4A/TCS-409 [CR604]
Fri,FREE,FREE,FREE,CS4C/TCS-402 [CR602],FREE,FREE,FREE,CS4C/TCS-402 [CR602]
