Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6B/PCS-601 (VD),CS6B/PCS-601(L) (VD),CS6E/PCS-614 (KU),CS6E/PCS-614(L) (KU),CS6D/PCS-693 (SP),CS6D/PCS-693(L) (SP),CS6D/PCS-601 (VD),CS6D/PCS-601(L) (VD)
Tue,CS6C/PCS-614 (KU),CS6C/PCS-614(L) (KU),FREE,FREE,CS6F/PCS-614 (KU),CS6F/PCS-614(L) (KU),FREE,FREE
Wed,FREE,FREE,CS6D/PCS-614 (KU),CS6D/PCS-614(L) (KU),FREE,FREE,FREE,FREE
Thu,FREE,FREE,FREE,FREE,FREE,FREE,CS6B/PCS-693 (SP),CS6B/PCS-693(L) (SP)
Fri,FREE,FREE,FREE,FREE,CS6C/PCS-601 (VD),CS6C/PCS-601(L) (VD),CS4B/PCS-408 (DC),CS4B/PCS-408(L) (DC)
