Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,CS6C/TCS666 [CR602],CS6B/TCS666 [CR601],FREE,FREE,FREE,FREE,FREE
Tue,CS6A/TCS666 [CR603],CS6C/SCS601 [SEMR1],CS6C/PCS666 [LAB2],FREE,FREE,FREE,FREE,FREE
Wed,FREE,CS6C/TCS666 [CR606],CS6B/TCS666 [CR601],FREE,FREE,FREE,FREE,FREE
Thu,FREE,CS6B/PCS666 [LAB2],CS6B/SCS601 [SEMR1],FREE,FREE,CS6A/TCS666 [CR606],FREE,FREE
Fri,FREE,FREE,CS6A/PCS666 [LAB1],CS6A/SCS601 [SEMR1],CS6B/TCS666 [CR605],CS6A/TCS666 [CR603],CS6C/TCS666 [CR605],FREE
