Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6E/TCS693 [CR603],FREE,FREE,FREE,FREE,FREE,FREE,FREE
Tue,FREE,CS6D/TCS693 [CR602],FREE,FREE,FREE,CS6E/TCS693 [CR605],FREE,CS6F/TCS693 [CR604]
Wed,CS6E/TCS693 [CR603],FREE,CS6D/TCS693 [CR602],FREE,FREE,FREE,FREE,FREE
Thu,CS6F/TCS693 [CR602],FREE,CS6F/TCS693 [CR601],FREE,FREE,FREE,FREE,FREE
Fri,FREE,CS6D/TCS693 [CR602],FREE,FREE,FREE,FREE,FREE,FREE
